partition_kind,q,depth,exponent,layer_dependent,cell_index,bits,x_lo,x_hi,x_mid,plog_mid,c_shared,c_free,displacement,shared_err,free_err,wall_excess,best_donor_index,best_donor_excess,value_add
uniform_x,3,6,1/2,False,20,"(0, 1, 0, 1, 0, 0)",1.3125,1.328125,1.3203125,0.3203125,-0.076416015625,-0.09925365447998047,0.02283763885498047,0.01987859807688086,0.00103071332291086,0.01884788475397,57,2.7625334965087657e-05,-0.018820259419004913
uniform_x,3,6,1/2,False,21,"(0, 1, 0, 1, 0, 1)",1.328125,1.34375,1.3359375,0.3359375,-0.0830078125,-0.10165023803710938,0.018642425537109375,0.01645629639253953,0.0009616500468126178,0.015494646345726913,56,0.0005250462873144978,-0.014969600058412415
uniform_x,3,6,1/2,False,22,"(0, 1, 0, 1, 1, 0)",1.34375,1.359375,1.3515625,0.3515625,-0.072021484375,-0.10386943817138672,0.03184795379638672,0.027417099727296904,0.0008940022486093332,0.02652309747868757,54,0.0004429274935313696,-0.0260801699851562
uniform_x,3,6,1/2,False,23,"(0, 1, 0, 1, 1, 1)",1.359375,1.375,1.3671875,0.3671875,-0.073974609375,-0.10591602325439453,0.03194141387939453,0.027579946652397522,0.0008274618265508536,0.02675248482584667,53,4.4942595679972434e-05,-0.026707542230166696
uniform_x,3,6,1/2,False,24,"(0, 1, 1, 0, 0, 0)",1.375,1.390625,1.3828125,0.3828125,-0.072509765625,-0.10779476165771484,0.035284996032714844,0.030453684431112602,0.0007620895845463671,0.029691594846566235,52,0.0002845669890296646,-0.029407027857536572
uniform_x,3,6,1/2,False,25,"(0, 1, 1, 0, 0, 1)",1.390625,1.40625,1.3984375,0.3984375,-0.084228515625,-0.1095113754272461,0.025282859802246094,0.02215393667209885,0.0006981109502470795,0.02145582572185177,51,0.0005479970100041219,-0.02090782871184765
uniform_x,3,6,1/2,False,26,"(0, 1, 1, 0, 1, 0)",1.40625,1.421875,1.4140625,0.4140625,-0.09130859375,-0.1110687255859375,0.0197601318359375,0.017524671826976087,0.000634694321612962,0.016889977505363123,49,0.00031343346203482805,-0.016576544043328294
uniform_x,3,6,1/2,False,27,"(0, 1, 1, 0, 1, 1)",1.421875,1.4375,1.4296875,0.4296875,-0.097900390625,-0.1124725341796875,0.0145721435546875,0.013115814429849158,0.0005727796735777312,0.012543034756271427,48,9.847904572649491e-05,-0.012444555710544931
uniform_x,3,6,1/2,False,28,"(0, 1, 1, 1, 0, 0)",1.4375,1.453125,1.4453125,0.4453125,-0.092041015625,-0.11372661590576172,0.02168560028076172,0.019239367245825437,0.0005120291491911833,0.018727338096634252,47,6.647289666811274e-05,-0.01866086519996614
uniform_x,3,6,1/2,False,29,"(0, 1, 1, 1, 0, 1)",1.453125,1.46875,1.4609375,0.4609375,-0.093994140625,-0.11483383178710938,0.020839691162109375,0.018550722930954604,0.00045205085107514695,0.018098672079879457,46,0.00018584863628707345,-0.017912823443592383
uniform_x,3,6,1/2,False,30,"(0, 1, 1, 1, 1, 0)",1.46875,1.484375,1.4765625,0.4765625,-0.097900390625,-0.1157999038696289,0.017899513244628906,0.016034658553507455,0.00039299845848708075,0.015641660095020375,45,0.00026391797538368215,-0.015377742119636693
uniform_x,3,6,1/2,False,31,"(0, 1, 1, 1, 1, 1)",1.484375,1.5,1.4921875,0.4921875,-0.109619140625,-0.11662769317626953,0.007008552551269531,0.006512065289361395,0.0003349230655386956,0.006177142223822699,43,0.0002972083426287132,-0.005879933881193986
uniform_x,3,6,1/2,False,32,"(1, 0, 0, 0, 0, 0)",1.5,1.515625,1.5078125,0.5078125,-0.08154296875,-0.11732101440429688,0.035778045654296875,0.03169971180140576,0.0002775986300321106,0.031422113171373646,42,0.00020225489370483466,-0.03121985827766881
uniform_x,3,6,1/2,False,33,"(1, 0, 0, 0, 0, 1)",1.515625,1.53125,1.5234375,0.5234375,-0.088134765625,-0.11788272857666016,0.029747962951660156,0.026529804385682868,0.00022153189965685993,0.026308272486026008,41,0.00013183870526324446,-0.026176433780762762
uniform_x,3,6,1/2,False,34,"(1, 0, 0, 0, 1, 0)",1.53125,1.546875,1.5390625,0.5390625,-0.0771484375,-0.118316650390625,0.041168212890625,0.03663192284119057,0.0001662755745359467,0.036465647266654626,40,8.209831638098097e-05,-0.036383548950273646
uniform_x,3,6,1/2,False,35,"(1, 0, 0, 0, 1, 1)",1.546875,1.5625,1.5546875,0.5546875,-0.0791015625,-0.11862659454345703,0.03952503204345703,0.03531460982439245,0.00011179011184713705,0.03520281971254531,39,4.6206875981404504e-05,-0.035156612836563905
uniform_x,3,6,1/2,False,36,"(1, 0, 0, 1, 0, 0)",1.5625,1.578125,1.5703125,0.5703125,-0.080322265625,-0.11881446838378906,0.03849220275878906,0.03452214025859592,5.813130713431246e-05,0.03446400895146161,38,2.0638897322507214e-05,-0.034443370054139104
uniform_x,3,6,1/2,False,37,"(1, 0, 0, 1, 0, 1)",1.578125,1.59375,1.5859375,0.5859375,-0.092041015625,-0.11888790130615234,0.026846885681152344,0.024244373399682145,9.561659359935926e-06,0.024234811740322208,38,4.593643662986666e-05,-0.02418887530369234
